Well,Variety,Fertilization,Rep,Domestication,Olsen_P
F4,Marglobe,Fertilized,2,Traditional,2.238372093
G4,B Pink,Unfertilized,4,Traditional,2.238372093
B5,Rutgers,Unfertilized,5,Traditional,1.36627907
C5,Rutgers,Fertilized,7,Traditional,1.36627907
D5,Matchless,Unfertilized,9,Traditional,1.36627907
E5,Marglobe,Unfertilized,1,Traditional,1.075581395
F5,Marglobe,Fertilized,3,Traditional,0.494186047
G5,B Pink,Unfertilized,5,Traditional,1.656976744
B6,Rutgers,Unfertilized,6,Traditional,1.947674419
C6,Rutgers,Fertilized,8,Traditional,2.238372093
D6,Matchless,Unfertilized,10,Traditional,3.401162791
E6,Marglobe,Unfertilized,2,Traditional,2.819767442
F6,Marglobe,Fertilized,4,Traditional,2.819767442
G6,B Pink,Unfertilized,6,Traditional,2.529069767
B7,Rutgers,Unfertilized,7,Traditional,2.819767442
C7,Rutgers,Fertilized,9,Traditional,2.529069767
D7,Matchless,Fertilized,1,Traditional,2.238372093
E7,Marglobe,Unfertilized,3,Traditional,2.238372093
F7,Marglobe,Fertilized,5,Traditional,1.36627907
G7,B Pink,Unfertilized,7,Traditional,1.656976744
B8,Rutgers,Unfertilized,8,Traditional,2.529069767
C8,Rutgers,Fertilized,10,Traditional,1.36627907
D8,Matchless,Fertilized,2,Traditional,1.656976744
E8,Marglobe,Unfertilized,4,Traditional,1.075581395
F8,Marglobe,Fertilized,6,Traditional,1.656976744
G8,B Pink,Unfertilized,8,Traditional,1.656976744
B9,Rutgers,Unfertilized,9,Traditional,3.691860465
C9,Matchless,Unfertilized,1,Traditional,2.529069767
D9,Matchless,Fertilized,3,Traditional,2.238372093
E9,Marglobe,Unfertilized,5,Traditional,2.238372093
F9,Marglobe,Fertilized,7,Traditional,3.401162791
G9,B Pink,Unfertilized,9,Traditional,2.529069767
B10,Rutgers,Unfertilized,10,Traditional,3.110465116
C10,Matchless,Unfertilized,2,Traditional,3.110465116
D10,Matchless,Fertilized,4,Traditional,3.401162791
E10,Marglobe,Unfertilized,6,Traditional,2.819767442
F10,Marglobe,Fertilized,8,Traditional,2.529069767
G10,B Pink,Unfertilized,10,Traditional,3.691860465
B11,Rutgers,Fertilized,1,Traditional,1.36627907
C11,Matchless,Unfertilized,3,Traditional,2.529069767
D11,Matchless,Fertilized,5,Traditional,1.947674419
E11,Marglobe,Unfertilized,7,Traditional,1.36627907
F11,Marglobe,Fertilized,9,Traditional,2.529069767
G11,B Pink,Fertilized,1,Traditional,2.238372093
B12,Rutgers,Fertilized,2,Traditional,2.529069767
C12,Matchless,Unfertilized,4,Traditional,2.238372093
D12,Matchless,Fertilized,6,Traditional,2.529069767
E12,Marglobe,Unfertilized,8,Traditional,1.075581395
F12,Marglobe,Fertilized,10,Traditional,2.238372093
G12,B Pink,Fertilized,2,Traditional,7.761627907
H1,B Pink,Fertilized,3,Traditional,4.273255814
H2,B Pink,Fertilized,4,Traditional,3.110465116
H3,B Pink,Fertilized,5,Traditional,6.308139535
H4,B Pink,Fertilized,6,Traditional,4.563953488
H5,B Pink,Fertilized,7,Traditional,3.110465116
H6,B Pink,Fertilized,8,Traditional,2.819767442
H7,B Pink,Fertilized,9,Traditional,3.401162791
H8,B Pink,Fertilized,10,Traditional,2.529069767
B1,LA1698,Unfertilized,1,Wild,0.776397516
C1,LA1698,Fertilized,3,Wild,1.397515528
D1,LA1580,Unfertilized,5,Wild,0.776397516
E1,LA1580,Fertilized,7,Wild,0.776397516
F1,LA1519,Unfertilized,9,Wild,0.155279503
G1,LA0716,Unfertilized,1,Wild,0.155279503
B2,LA1698,Unfertilized,2,Wild,1.397515528
C2,LA1698,Fertilized,4,Wild,0.465838509
D2,LA1580,Unfertilized,6,Wild,0.776397516
E2,LA1580,Fertilized,8,Wild,0.776397516
F2,LA1519,Unfertilized,10,Wild,1.086956522
G2,LA0716,Unfertilized,2,Wild,1.708074534
B3,LA1698,Unfertilized,3,Wild,3.571428571
C3,LA1698,Fertilized,5,Wild,2.01863354
D3,LA1580,Unfertilized,7,Wild,3.260869565
E3,LA1580,Fertilized,9,Wild,1.708074534
F3,LA1519,Fertilized,1,Wild,2.950310559
G3,LA0716,Unfertilized,3,Wild,3.571428571
B4,LA1698,Unfertilized,4,Wild,3.571428571
C4,LA1698,Fertilized,6,Wild,2.639751553
D4,LA1580,Unfertilized,8,Wild,2.950310559
E4,LA1580,Fertilized,10,Wild,1.086956522
F4,LA1519,Fertilized,2,Wild,1.086956522
G4,LA0716,Unfertilized,4,Wild,1.086956522
B5,LA1698,Unfertilized,5,Wild,1.086956522
C5,LA1698,Fertilized,7,Wild,1.086956522
D5,LA1580,Unfertilized,9,Wild,0.465838509
E5,LA1519,Unfertilized,1,Wild,0.155279503
F5,LA1519,Fertilized,3,Wild,1.086956522
G5,LA0716,Unfertilized,5,Wild,1.708074534
B6,LA1698,Unfertilized,6,Wild,2.639751553
C6,LA1698,Fertilized,8,Wild,2.01863354
D6,LA1580,Unfertilized,10,Wild,2.950310559
E6,LA1519,Unfertilized,2,Wild,3.260869565
F6,LA1519,Fertilized,4,Wild,2.01863354
G6,LA0716,Unfertilized,6,Wild,4.50310559
B7,LA1698,Unfertilized,7,Wild,3.571428571
C7,LA1698,Fertilized,9,Wild,3.881987578
D7,LA1580,Fertilized,1,Wild,1.708074534
E7,LA1519,Unfertilized,3,Wild,2.329192547
F7,LA1519,Fertilized,5,Wild,0.776397516
G7,LA0716,Unfertilized,7,Wild,0.465838509
B8,LA1698,Unfertilized,8,Wild,1.397515528
C8,LA1698,Fertilized,10,Wild,0.155279503
D8,LA1580,Fertilized,2,Wild,0.776397516
E8,LA1519,Unfertilized,4,Wild,0.776397516
F8,LA1519,Fertilized,6,Wild,1.708074534
G8,LA0716,Unfertilized,8,Wild,0.155279503
