Variety,Domestication,Fertilization,Rep,P_mg/kg,P_mg/g,P_Content_mg/shoot,Note
LA1698,Wild,Fertilized,7,1044.96762,1.04496762,4.594722625,
LA1698,Wild,Fertilized,8,1887.111601,1.887111601,7.027792313,
LA1698,Wild,Fertilized,9,994.4223468,0.994422347,5.595713988,
LA1698,Wild,Fertilized,10,1916.8114,1.9168114,13.26893524,
Marglobe,Traditional,Unfertilized,1,1507.696618,1.507696618,7.519486113,
Marglobe,Traditional,Unfertilized,2,1117.295497,1.117295497,6.284787171,
Marglobe,Traditional,Unfertilized,3,1261.557455,1.261557455,6.511528804,
Marglobe,Traditional,Unfertilized,4,967.9261901,0.96792619,6.46574695,
Marglobe,Traditional,Unfertilized,5,1253.727724,1.253727724,6.396393475,
Marglobe,Traditional,Unfertilized,6,1560.045857,1.560045857,5.372953936,
Marglobe,Traditional,Unfertilized,7,1202.224392,1.202224392,5.479498334,
Marglobe,Traditional,Unfertilized,8,1478.456069,1.478456069,8.184141416,
Marglobe,Traditional,Unfertilized,9,1309.924657,1.309924657,5.791176909,
Marglobe,Traditional,Unfertilized,10,889.7606651,0.889760665,6.168977619,
Marglobe,Traditional,Fertilized,1,3297.531917,3.297531917,28.98596506,
Marglobe,Traditional,Fertilized,2,1443.45793,1.44345793,9.845682195,
Marglobe,Traditional,Fertilized,3,4436.99075,4.43699075,19.97488866,
Marglobe,Traditional,Fertilized,4,2636.884064,2.636884064,25.68826086,
Marglobe,Traditional,Fertilized,5,1835.825673,1.835825673,17.08878328,
Marglobe,Traditional,Fertilized,6,3619.726905,3.619726905,32.15620593,
Marglobe,Traditional,Fertilized,7,1914.689366,1.914689366,15.04505463,
Marglobe,Traditional,Fertilized,8,2117.135405,2.117135405,19.28413955,
Marglobe,Traditional,Fertilized,9,3952.423945,3.952423945,27.26144892,
Marglobe,Traditional,Fertilized,10,2231.380141,2.231380141,16.84580437,
Matchless,Traditional,Unfertilized,1,2129.771226,2.129771226,6.488561017,
Matchless,Traditional,Unfertilized,2,1473.168196,1.473168196,10.22540777,
Matchless,Traditional,Unfertilized,3,1171.409998,1.171409998,5.63096786,
Matchless,Traditional,Unfertilized,4,1488.418302,1.488418302,8.501101132,
Matchless,Traditional,Unfertilized,5,1944.494572,1.944494572,5.75687063,
Matchless,Traditional,Unfertilized,6,1140.100725,1.140100725,7.624309588,
Matchless,Traditional,Unfertilized,7,1759.699346,1.759699346,8.390598422,
Matchless,Traditional,Unfertilized,8,1128.678472,1.128678472,6.711912269,
Matchless,Traditional,Unfertilized,9,932.2083832,0.932208383,5.043806678,
Matchless,Traditional,Unfertilized,10,854.7055047,0.854705505,5.632594747,
Matchless,Traditional,Fertilized,1,1780.617927,1.780617927,16.74030138,
Matchless,Traditional,Fertilized,2,2002.45364,2.00245364,17.23191455,
Matchless,Traditional,Fertilized,3,2458.12418,2.45812418,20.70674647,
Matchless,Traditional,Fertilized,4,2332.373108,2.332373108,19.52009702,
Matchless,Traditional,Fertilized,5,2516.219679,2.516219679,22.81255085,
Matchless,Traditional,Fertilized,6,1223.119323,1.223119323,8.848167495,
Matchless,Traditional,Fertilized,7,1189.45288,1.18945288,10.17743462,
Matchless,Traditional,Fertilized,8,2017.849887,2.017849887,19.47790139,
Matchless,Traditional,Fertilized,9,1280.775722,1.280775722,10.1329852,
Matchless,Traditional,Fertilized,10,1700.24365,1.70024365,18.35940096,
B Pink,Traditional,Unfertilized,1,1398.494366,1.398494366,7.013169547,
B Pink,Traditional,Unfertilized,2,2329.462922,2.329462922,9.086070127,
B Pink,Traditional,Unfertilized,3,1370.758538,1.370758538,4.620964107,
B Pink,Traditional,Unfertilized,4,989.8449395,0.98984494,4.666623967,
B Pink,Traditional,Unfertilized,5,1910.199733,1.910199733,6.882831678,
B Pink,Traditional,Unfertilized,6,1922.553895,1.922553895,6.505730125,
B Pink,Traditional,Unfertilized,7,1219.271742,1.219271742,6.328995758,
B Pink,Traditional,Unfertilized,8,1224.247249,1.224247249,7.367275095,
B Pink,Traditional,Unfertilized,9,1405.40431,1.40540431,6.525432752,
B Pink,Traditional,Unfertilized,10,1725.338702,1.725338702,7.670338267,
